time,temperature_2m,precipitation_probability
2026-07-20T00:00,23.2,6
2026-07-20T01:00,22.9,15
2026-07-20T02:00,22.8,27
2026-07-20T03:00,22.6,41
2026-07-20T04:00,22.6,58
2026-07-20T05:00,22.3,76
2026-07-20T06:00,22.2,90
2026-07-20T07:00,22.4,97
2026-07-20T08:00,22.5,99
2026-07-20T09:00,22.6,100
2026-07-20T10:00,22.8,100
2026-07-20T11:00,23.1,100
2026-07-20T12:00,23.3,100
2026-07-20T13:00,23.0,98
2026-07-20T14:00,23.9,95
2026-07-20T15:00,24.7,90
2026-07-20T16:00,25.1,81
2026-07-20T17:00,25.5,71
2026-07-20T18:00,25.2,65
2026-07-20T19:00,24.5,68
2026-07-20T20:00,24.2,75
2026-07-20T21:00,24.0,82
2026-07-20T22:00,24.0,89
2026-07-20T23:00,24.2,95
2026-07-21T00:00,24.4,98
2026-07-21T01:00,24.6,95
2026-07-21T02:00,24.7,89
2026-07-21T03:00,24.5,84
2026-07-21T04:00,24.5,80
2026-07-21T05:00,24.7,76
2026-07-21T06:00,24.7,75
2026-07-21T07:00,24.9,80
2026-07-21T08:00,25.2,89
2026-07-21T09:00,24.9,96
2026-07-21T10:00,25.4,99
2026-07-21T11:00,25.7,100
2026-07-21T12:00,26.4,100
2026-07-21T13:00,26.6,100
2026-07-21T14:00,26.3,99
2026-07-21T15:00,26.2,98
2026-07-21T16:00,26.0,100
2026-07-21T17:00,26.0,100
2026-07-21T18:00,25.8,100
2026-07-21T19:00,25.4,91
2026-07-21T20:00,25.2,78
2026-07-21T21:00,24.9,69
2026-07-21T22:00,24.9,67
2026-07-21T23:00,24.8,70
2026-07-22T00:00,24.7,73
2026-07-22T01:00,24.7,78
2026-07-22T02:00,24.6,83
2026-07-22T03:00,24.6,86
2026-07-22T04:00,24.4,82
2026-07-22T05:00,24.3,76
2026-07-22T06:00,24.5,71
2026-07-22T07:00,24.7,70
2026-07-22T08:00,25.4,72
2026-07-22T09:00,26.6,73
2026-07-22T10:00,27.3,74
2026-07-22T11:00,27.4,75
2026-07-22T12:00,27.3,76
2026-07-22T13:00,27.3,76
2026-07-22T14:00,27.1,75
2026-07-22T15:00,27.8,73
2026-07-22T16:00,27.7,70
2026-07-22T17:00,27.1,65
2026-07-22T18:00,26.7,59
2026-07-22T19:00,26.0,50
2026-07-22T20:00,25.5,39
2026-07-22T21:00,25.3,33
